1002267,"""Y Not Wednesday Farmers Market at Town Center""",http://www.sandlercenter.org/index/ynotwednesdays,"201 Market Street,",Virginia Beach,Virginia Beach,Virginia,23462,June - August Wednesday 5:00 PM to 8:00 PM,-76.135361,36.841885,Other,Y,N,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,Y,5/5/12 17:56
21005876,10:10 Farmers Market,http://www.1010farmersmarket.com,5960 Stewart Parkway,Douglasville,Douglas,Georgia,30135,January - February Monday 2:00 AM to 2:00 PM,-84.7689,33.7196,Healthcare Institution,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,7/18/12 13:51
1001666,100-Mile Market,http://www.peoplesfoodco-op.org/,507 Harrison Street,Kalamazoo,Kalamazoo,Michigan,49007,May - October Wednesday 3:00 PM to 7:00 PM,-85.57502,42.29596,Private business parking lot,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,4/30/12 14:33
21002563,112st Madison Avenue,,112th Madison Avenue,New York,New York,New York,10029,"July Tuesday 8:00 am to 5:00 pm, Saturday 8:00 am to 8:00 pm August Tuesday 8:00 am to 5:00 pm, Saturday 8:00 am to 4:00 pm September October November",-73.9493,40.7939,Private business parking lot,N,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,3/1/12 10:38
1003680,12th & Brandywine Urban Farm Market,http://www.facebook.com/delawareurbanfarmcoalition,12th & Brandywine Streets,Wilmington,New Castle,Delaware,19801,May - October Monday 4:00 PM to 7:00 PM,-75.534267,39.741993,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,5/18/12 12:07
1004012,14&U Farmers' Market,http://WWW.MARKETSANDMORE.NET,2000 14 ST NW,WASHINGTON,District of Columbia,District of Columbia,20010,May - November Saturday 9:00 AM to 1:00 PM,-77.032069,38.917076,Local government building grounds,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,5/24/12 13:05
22003671,17 on the Square,,17 Lincoln Square,Gettysburg,Adams,Pennsylvania,17325,,-77.2316,39.8313,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1003702,175th Street Greenmarket,http://www.grownyc.org,W 175 St. & Broadway,New York,New York,New York,10033,July - November Thursday 8:00 AM to 5:00 PM,-73.9384685,40.8462226,Other,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,5/18/12 14:45
21003891,17th Ave Market,http://www.iatp.org/minimarkets,1622 6th St NE,Minneapolis,Hennepin,Minnesota,55413,January - December Wednesday 3:00 pm to 7:00 pm,-93.2591,45.0044,"Faith-based institution (e.g., church, mosque, synagogue, temple)",N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,4/28/11 14:33
22002381,17th Street Farmers Market,http://www.17thstreetfarmersmarket.com,17th & Main Streets,Richmond,Henrico,Virginia,23219,,-77.4886,37.5583,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1001010,18th Annual Highlands Business Partnership Farmers Market,http://www.highlandsnj.com,71 Waterwitch Avenue,Highlands,Monmouth,New Jersey,7732,"July - October Saturday 8:30 AM to 2:00 PM, (or until sell-out.)",-73.994358,40.404837,,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,4/26/12 15:19
1000812,2012 Wood County Farmers' Market,,3rd Ave N & Johnson St.,Wisconsin Rapids,Wood,Wisconsin,54495,"June - October Thursday 9:00 AM to 5:00 PM, Saturday 8:00 AM to 12:00 PM, (Opening day is June 7th and will be open each Thursday & Saturday until October 27th)",-89.829304,44.391951,Local government building grounds,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,4/26/12 13:32
1003540,22nd & Tasker Farmers' Market,http://www.foodtrustmarkets.org/markets.html,22nd and Tasker Streets,Philadelphia,Philadelphia,Pennsylvania,19146,June - October Tuesday 2:00 PM to 6:00 PM,-75.18142,39.93216,Other,N,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,5/17/12 11:36
1004861,25th Avenue Farmers' Market,http://www.pcfma.com/market_home.php?market_id=40,194 W 25th Avenue,San Mateo,San Mateo,California,94403,May - October Tuesday 4:00 PM to 7:30 PM,-122.3098753,37.5433429,Private business parking lot,N,Y,N,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,N,6/13/12 11:32
1000949,29 Palms Certified Farmers Market,http://loriherbelfarmersmarkets.com,73662 Homestead Drive,Twentynine Palms,San Bernardino,California,92277,January - December Sunday 10:00 AM to 2:00 PM,-116.055133,34.151639,Closed-off public street,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,N,N,4/26/12 14:40
1003523,29th & Wharton Farmers' Market,http://www.foodtrustmarkets.org/graysferry.html,29th and Wharton Streets,Philadelphia,Philadelphia,Pennsylvania,19146,June - October Tuesday 2:00 PM to 6:00 PM,-75.19204,39.9373,Other,N,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,5/17/12 10:54
22000719,2nd Street Public Market,http://www.secondstreetpublicmarket.com,2003 2nd Street,Tillamook,Tillamook,Oregon,97141,,-123.844,45.4569,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,May 20 2010 6:29PM
1004636,3 French Hens French Country Market,http://www.3frenchhensmarket.blogspot.com,W. Illinois ave. at the corner of Wauponsee St.,Morris,Grundy,Illinois,60450,"May - July Saturday 8:00 AM to 2:00 PM, (2nd Sat) August Saturday 2:00 PM to 8:00 PM, (2nd Sat) September - October Saturday 8:00 AM to 2:00 PM, (2nd Sat)",-88.4249015,41.3564428,Other,Y,N,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,N,6/2/12 12:27
1000611,32nd Street/Waverly Farmers Market,,E. 32nd & Barclay Street,Baltimore,Baltimore,Maryland,21218,January - December Saturday 7:00 AM to 12:00 PM,-76.611,39.3272,Closed-off public street,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,4/25/12 14:07
1003543,33rd & Diamond Farmers' Market,http://www.foodtrustmarkets.org/markets.html,N 33rd and Diamond Streets,Philadelphia,Philadelphia,Pennsylvania,19121,June - October Tuesday 2:00 PM to 6:00 PM,-75.18706,39.98867,Other,N,Y,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,5/17/12 11:41
1001438,38th & Meridian Farmers Market,,3808 North Meridian Street,Indianapolis,Marion,Indiana,46208,"June - October Thursday 4:00 PM to 6:30 PM, (Rain or shine, may be cancelled due to lightning)",-86.15875,39.82604,"Faith-based institution (e.g., church, mosque, synagogue, temple)",Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,4/30/12 10:26
1003719,3rd & Curry St. Farmers Market,http://carsonfarmersmarket.com,3rd & Curry Street,Carson City,Carson City,Nevada,89703,June - September Saturday 8:30 AM to 1:30 PM,-119.7678,39.16257,Local government building grounds,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,5/18/12 16:12
22004647,4th Street Farmers Market,http://www.4thstreetfarmersmarket.com,315 East 4th St.,Larimer,,Colorado,,,-105.073,40.3954,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
1003556,5 Points Farmers Market,http://5pointsfarmersmarket.com,17370 Coastal Highway,Lewes,Sussex,Delaware,19958,May - September Thursday 8:00 AM to 12:00 PM,-75.1778671,38.7487324,Private business parking lot,Y,N,N,N,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,5/17/12 12:47
22002796,52 & Shadeland Avenue Farmers Market,,5200 N. Shadeland Avenue,Indianapolis,,Indiana,46226,,-86.0476,39.8481,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1003527,52nd & Haverford Farmers' Market,http://www.foodtrustmarkets.org/markets.html,N 52nd Street and Haverford Avenue,Philadelphia,Philadelphia,Pennsylvania,19139,"June - November Wednesday 1:00 PM to 5:00 PM, Friday 1:00 PM to 5:00 PM, (Wednesday markets begin June 6. Friday markets begin July 6.)",-75.22461,39.96498,Other,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,5/17/12 10:59
1003703,57th Street Greenmarket,http://www.grownyc.org,W 57 St. & 9 Ave,New York,New York,New York,10019,"April - December Wednesday 8:00 AM to 6:00 PM, Saturday 8:00 AM to 6:00 PM",-73.985839,40.768159,Other,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,5/18/12 14:56
1003534,58th & Chester Farmers' Market,http://www.foodtrustmarkets.org/markets.html,58th Street and Chester Avenue,Philadelphia,Philadelphia,Pennsylvania,19143,June - November Wednesday 2:00 PM to 6:00 PM,-75.228324,39.935556,Other,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,5/17/12 11:13
22001174,5th Street Farmers Market,,5th and Main Street,Millersburg,Bourbon,Kentucky,40348,,-84.1487,38.3004,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1002746,61st Street Farmers Market,http://www.experimentalstation.org/farmers-market,6100 S Blackstone,Chicago,Cook,Illinois,60637,May - December Saturday 9:00 AM to 2:00 PM,-87.590568,41.78407,Closed-off public street,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,5/9/12 15:41
21006629,6701 Burnet Road Market,http://www.6701burnetroadmarket.com,6701 Burnet Road Market,Austin,Austin,Texas,78757,January - December,-97.7018,30.4258,Private business parking lot,N,Y,N,N,N,Y,Y,Y,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,Y,Y,N,N,1/22/12 18:36
1003705,79th Street Greenmarket,http://www.grownyc.org,Columbus - W 78 & 81 Sts.,New York,New York,New York,10024,January - December Sunday 8:00 AM to 5:00 PM,-73.975668,40.781776,Other,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,Y,5/18/12 15:11
1003707,82nd Street Greenmarket,http://www.grownyc.org,E 82nd St. - 1st & York Ave,New York,New York,New York,10028,January - December Saturday 9:00 AM to 3:00 PM,-73.95009,40.773749,Other,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,5/18/12 15:22
1000568,8th Avenue City Farmers Market,,8th Ave & 2nd St SE,Cedar Rapids,Linn,Iowa,52401,"May - October Tuesday 4:00 PM to 6:00 PM, Saturday 7:30 AM to 12:00 PM",-91.6626534,41.972837,Local government building grounds,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,4/25/12 13:17
1003709,92nd Street Greenmarket,http://www.grownyc.org,1st Ave - E 92nd & 93 Sts.,New York,New York,New York,10128,June - December Sunday 9:00 AM to 4:00 PM,-73.946421,40.780931,Other,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,5/18/12 15:29
1003711,97th Street Greenmarket,http://www.grownyc.org,W 97 St. & Columbus,New York,New York,New York,10025,January - December Friday 8:00 AM to 2:00 PM,-73.967012,40.79356,Other,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,5/18/12 15:38
22003160,9th Street Farmers Market,,Roy Wilkinson Boulevard (9th & Chestnut Street),Louisville,Jefferson,Kentucky,40203,,-85.7724,38.248,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
